activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344637665,R,1545273,X,,2020-08-17 00:28:26 EDT
344637681,C,1543976,X,,2020-08-17 00:28:26 EDT
344637681,C,1543976,,X,2020-08-17 00:28:26 EDT
344637707,C,1545279,X,,2020-08-17 00:28:26 EDT
344637723,R,1544511,X,,2020-08-17 00:28:26 EDT
344637731,I,1409471,X,,2020-08-17 00:28:26 EDT
344637749,C,1544828,X,,2020-08-17 00:28:26 EDT
344637764,R,1543527,X,,2020-08-17 00:28:26 EDT
344637772,R,1536008,X,,2020-08-17 00:28:26 EDT
344637772,R,1537239,,X,2020-08-17 00:28:26 EDT
344637772,R,1537239,X,,2020-08-17 00:28:26 EDT
344637780,I,1411882,X,,2020-08-17 00:28:26 EDT
344637798,A,1545146,,,2020-08-17 00:28:26 EDT
344637830,C,1544304,X,,2020-08-17 00:28:26 EDT
344637855,I,1346558,X,,2020-08-17 00:28:26 EDT
344637863,I,1423338,X,,2020-08-17 00:28:26 EDT
344637905,R,1545298,X,,2020-08-17 00:28:26 EDT
344637921,C,1542873,X,,2020-08-17 00:28:26 EDT
344637921,C,1542873,,X,2020-08-17 00:28:26 EDT
344637939,C,1541945,X,,2020-08-17 00:28:26 EDT
344637954,A,1537779,,,2020-08-17 00:28:26 EDT
344637962,A,1536259,,,2020-08-17 00:28:26 EDT
344637970,C,1537337,X,,2020-08-17 00:28:26 EDT
344637970,C,1537337,,X,2020-08-17 00:28:26 EDT
344638044,C,1545308,X,,2020-08-17 00:28:26 EDT
344638085,R,1542582,X,,2020-08-17 00:28:26 EDT
344638127,A,1544185,,,2020-08-17 00:28:26 EDT
344638192,C,1544855,X,,2020-08-17 00:28:26 EDT
344638200,C,1543358,,X,2020-08-17 00:28:26 EDT
344638200,C,1543358,X,,2020-08-17 00:28:26 EDT
344638226,A,1523866,,,2020-08-17 00:28:26 EDT
344638259,R,1513741,X,,2020-08-17 00:28:26 EDT
344638267,R,1545339,X,,2020-08-17 00:28:26 EDT
344638275,R,1545339,X,,2020-08-17 00:28:26 EDT
344638283,R,1545339,X,,2020-08-17 00:28:26 EDT
344638291,R,1541580,X,,2020-08-17 00:28:26 EDT
344638309,C,1544261,,X,2020-08-17 00:28:26 EDT
344638317,C,1548937,,X,2020-08-17 00:28:26 EDT
344638325,R,1537948,X,,2020-08-17 00:28:26 EDT
344638358,C,1533289,,X,2020-08-17 00:28:26 EDT
344638366,I,1463144,X,,2020-08-17 00:28:26 EDT
344638366,I,1463144,,X,2020-08-17 00:28:26 EDT
344638374,C,1542493,X,,2020-08-17 00:28:26 EDT
344638390,C,1544908,X,,2020-08-17 00:28:26 EDT
344638408,C,1544908,X,,2020-08-17 00:28:26 EDT
344638499,C,1545354,X,,2020-08-17 00:28:26 EDT
344638507,C,1544919,X,,2020-08-17 00:28:26 EDT
344638606,C,1542976,,X,2020-08-17 00:28:26 EDT
344638622,R,1543430,X,,2020-08-17 00:28:26 EDT
344638630,R,1543430,X,,2020-08-17 00:28:26 EDT
344638671,C,1547148,X,,2020-08-17 00:28:26 EDT
344638713,A,1545360,,,2020-08-17 00:28:26 EDT
344638770,C,1543945,X,,2020-08-17 00:28:26 EDT
344638770,C,1543945,,X,2020-08-17 00:28:26 EDT
344638788,C,1543673,X,,2020-08-17 00:28:26 EDT
344638804,C,1543200,X,,2020-08-17 00:28:26 EDT
344638804,C,1543200,,X,2020-08-17 00:28:26 EDT
344638812,R,1544487,X,,2020-08-17 00:28:26 EDT
344638820,R,1543069,X,,2020-08-17 00:28:26 EDT
344638846,R,1543279,X,,2020-08-17 00:28:26 EDT
344638879,C,1542557,X,,2020-08-17 00:28:26 EDT
344638879,C,1542557,,X,2020-08-17 00:28:26 EDT
344638895,A,1544432,,,2020-08-17 00:28:26 EDT
344638945,C,1543583,X,,2020-08-17 00:28:26 EDT
344638952,A,1545393,,,2020-08-17 00:28:26 EDT
344638978,R,1545398,X,,2020-08-17 00:28:26 EDT
344638986,C,1544312,X,,2020-08-17 00:28:26 EDT
344638994,C,1543649,,X,2020-08-17 00:28:26 EDT
344639018,I,1423243,X,,2020-08-17 00:28:26 EDT
344639091,C,1544519,,X,2020-08-17 00:28:26 EDT
344639117,R,1543031,,X,2020-08-17 00:28:26 EDT
344639158,C,1543704,X,,2020-08-17 00:28:26 EDT
344639158,C,1543704,,X,2020-08-17 00:28:26 EDT
344639166,C,1542207,X,,2020-08-17 00:28:26 EDT
344639190,C,1544822,,X,2020-08-17 00:28:26 EDT
344639216,C,1543705,X,,2020-08-17 00:28:26 EDT
344639224,A,1542903,,,2020-08-17 00:28:26 EDT
344639257,R,1545412,X,,2020-08-17 00:28:26 EDT
344639273,C,1542600,X,,2020-08-17 00:28:26 EDT
344639299,C,1537103,,X,2020-08-17 00:28:26 EDT
344639331,R,1544016,X,,2020-08-17 00:28:26 EDT
344639398,C,1544947,X,,2020-08-17 00:28:26 EDT
344639422,R,1544617,,X,2020-08-17 00:28:26 EDT
344639448,I,1424391,X,,2020-08-17 00:28:26 EDT
344639489,R,1543937,X,,2020-08-17 00:28:26 EDT
344639497,R,1545426,X,,2020-08-17 00:28:26 EDT
344639505,R,1530485,X,,2020-08-17 00:28:26 EDT
344639521,I,1098281,X,,2020-08-17 00:28:26 EDT
344639539,I,1455517,,,2020-08-17 00:28:26 EDT
344639547,C,1542355,,X,2020-08-17 00:28:26 EDT
344639562,C,1544380,,X,2020-08-17 00:28:26 EDT
344639588,C,1545090,X,,2020-08-17 00:28:26 EDT
344639596,C,1544488,,X,2020-08-17 00:28:26 EDT
344639612,C,1542588,,X,2020-08-17 00:28:26 EDT
344639638,C,1544140,,X,2020-08-17 00:28:26 EDT
344639661,C,1541868,X,,2020-08-17 00:28:26 EDT
344639737,C,1536866,X,,2020-08-17 00:28:26 EDT
344639745,A,1545075,,,2020-08-17 00:28:26 EDT
344639760,C,1543925,,X,2020-08-17 00:28:26 EDT
344639760,C,1543925,X,,2020-08-17 00:28:26 EDT
344639760,R,1545483,,X,2020-08-17 00:28:26 EDT
344639778,A,1544004,,,2020-08-17 00:28:26 EDT
344639786,I,1408881,X,,2020-08-17 00:28:26 EDT
344639794,R,1544329,X,,2020-08-17 00:28:26 EDT
344639802,R,1538846,X,,2020-08-17 00:28:26 EDT
344639810,R,1543471,X,,2020-08-17 00:28:26 EDT
344639828,R,1543286,X,,2020-08-17 00:28:26 EDT
344639836,R,1528677,,X,2020-08-17 00:28:26 EDT
344639836,R,1528677,X,,2020-08-17 00:28:26 EDT
344639836,A,1546859,,,2020-08-17 00:28:26 EDT
344639844,R,1543048,X,,2020-08-17 00:28:26 EDT
344639919,A,1520432,,,2020-08-17 00:28:26 EDT
344639927,R,1545621,,X,2020-08-17 00:28:26 EDT
344639943,I,1268542,X,,2020-08-17 00:28:26 EDT
344639950,C,1543012,X,,2020-08-17 00:28:26 EDT
344639976,R,1530840,X,,2020-08-17 00:28:26 EDT
344639984,C,1543745,X,,2020-08-17 00:28:26 EDT
344639992,C,1545195,X,,2020-08-17 00:28:26 EDT
344640016,R,1544374,X,,2020-08-17 00:28:26 EDT
344640016,A,1583556,,,2020-08-17 00:28:26 EDT
344640024,R,1530485,X,,2020-08-17 00:28:26 EDT
344640032,I,1287763,,X,2020-08-17 00:28:26 EDT
344640032,I,1287763,X,,2020-08-17 00:28:26 EDT
344640057,C,1515628,X,,2020-08-17 00:28:26 EDT
344640073,C,1552644,X,,2020-08-17 00:28:26 EDT
344640081,R,1544977,X,,2020-08-17 00:28:26 EDT
344640099,I,1317989,X,,2020-08-17 00:28:26 EDT
344640107,C,1543465,,X,2020-08-17 00:28:26 EDT
344640123,C,1522675,X,,2020-08-17 00:28:26 EDT
344640123,C,1522675,,X,2020-08-17 00:28:26 EDT
344640180,C,1545538,X,,2020-08-17 00:28:26 EDT
344640198,C,1542328,X,,2020-08-17 00:28:26 EDT
344640198,C,1542328,,X,2020-08-17 00:28:26 EDT
344640248,I,1445237,X,,2020-08-17 00:28:26 EDT
344640248,I,1445237,,X,2020-08-17 00:28:26 EDT
344640263,R,1544739,X,,2020-08-17 00:28:26 EDT
344640289,I,1403047,X,,2020-08-17 00:28:26 EDT
344640289,I,1403047,,X,2020-08-17 00:28:26 EDT
344640289,C,1455701,,X,2020-08-17 00:28:26 EDT
344640297,R,1544490,,X,2020-08-17 00:28:26 EDT
344640305,R,1545546,X,,2020-08-17 00:28:26 EDT
344640321,A,1540640,,,2020-08-17 00:28:26 EDT
344640347,C,1545012,X,,2020-08-17 00:28:26 EDT
344640354,I,1391601,,X,2020-08-17 00:28:26 EDT
344640362,C,1540400,X,,2020-08-17 00:28:26 EDT
344640396,R,1544529,X,,2020-08-17 00:28:26 EDT
