activity_nr,prog_type,prog_value,load_dt
344734470,P,CONSTR,2020-08-17 00:29:01 EDT
344734470,S,CONSTR,2020-08-17 00:29:01 EDT
344734488,P,CONSTR,2020-08-17 00:29:01 EDT
344734488,S,CONSTR,2020-08-17 00:29:01 EDT
344734504,P,MD,2020-08-17 00:29:01 EDT
344734504,S,MD,2020-08-17 00:29:01 EDT
344734512,P,CONSTR,2020-08-17 00:29:01 EDT
344734512,S,CONSTR,2020-08-17 00:29:01 EDT
344734520,P,CONSTR,2020-08-17 00:29:01 EDT
344734520,S,CONSTR,2020-08-17 00:29:01 EDT
344734538,P,CONSTR,2020-08-17 00:29:01 EDT
344734538,S,CONSTR,2020-08-17 00:29:01 EDT
344734561,P,WORKZONE,2020-08-17 00:29:01 EDT
344734561,S,WORKZONE,2020-08-17 00:29:01 EDT
344734587,L,CONSTR6,2020-08-17 00:29:01 EDT
344734587,P,CONSTR6,2020-08-17 00:29:01 EDT
344734595,L,CONSTR6,2020-08-17 00:29:01 EDT
344734595,P,CONSTR6,2020-08-17 00:29:01 EDT
344734637,L,FALL,2020-08-17 00:29:01 EDT
344734637,P,FALL,2020-08-17 00:29:01 EDT
344734652,N,AMPUTATE,2020-08-17 00:29:01 EDT
344734686,L,FALL,2020-08-17 00:29:01 EDT
344734686,P,FALL,2020-08-17 00:29:01 EDT
344734728,L,FALL,2020-08-17 00:29:01 EDT
344734728,P,FALL,2020-08-17 00:29:01 EDT
344734751,L,FALL,2020-08-17 00:29:01 EDT
344734751,P,FALL,2020-08-17 00:29:01 EDT
344734785,L,FALL,2020-08-17 00:29:01 EDT
344734785,P,FALL,2020-08-17 00:29:01 EDT
344734819,L,FALL,2020-08-17 00:29:01 EDT
344734819,P,FALL,2020-08-17 00:29:01 EDT
344734850,S,RESCON,2020-08-17 00:29:01 EDT
344734850,S,TRENCHING,2020-08-17 00:29:01 EDT
344734868,P,PERMIT,2020-08-17 00:29:01 EDT
344734868,S,PERMIT,2020-08-17 00:29:01 EDT
344734892,L,RESCON,2020-08-17 00:29:01 EDT
344734892,N,TRENCH,2020-08-17 00:29:01 EDT
344734900,P,PERMIT,2020-08-17 00:29:01 EDT
344734900,S,PERMIT,2020-08-17 00:29:01 EDT
344734926,P,PERMIT,2020-08-17 00:29:01 EDT
